id,meta_id,tag_id
946,684,1118
947,684,1075
948,684,1259
949,685,1130
950,686,1118
951,686,1075
952,686,1077
953,686,1117
954,686,1259
955,687,1118
956,688,1125
957,689,1115
958,690,1077
959,690,1158
960,691,1077
961,691,1131
962,691,1158
963,692,1202
964,692,1217
965,693,1158
966,693,1131
967,694,1125
968,695,1125
969,696,1130
970,697,1125
971,698,1125
972,699,1259
973,700,1118
974,701,1118
975,701,1077
976,701,1117
977,701,1259
978,702,1125
979,703,1130
980,704,1259
981,705,1125
982,706,1118
983,706,1259
984,707,1118
985,707,1075
986,707,1076
987,707,1077
988,707,1259
989,708,1130
990,708,1076
991,708,1259
992,709,1125
993,710,1118
994,710,1075
995,710,1077
996,710,1117
997,710,1120
998,710,1259
999,711,1130
1000,711,1118
1001,711,1075
1002,711,1076
1003,712,1118
1004,712,1076
1005,712,1259
1006,713,1125
1007,714,1125
1008,715,1118
1009,715,1116
1010,715,1117
1011,716,1075
1012,716,1076
1013,716,1130
1014,717,1161
