id,user_id,code_id,item_id,game_id,difficulty,win,created
454,1,5,202,1,2,1,1742680193468
445,1,5,174,1,2,0,1742680120619
446,1,5,31,1,2,0,1742680120619
447,1,5,154,1,2,0,1742680120619
448,1,5,361,1,2,0,1742680120619
449,1,5,29,1,2,0,1742680120619
444,1,5,258,3,2,0,1742679956527
443,1,5,165,4,3,1,1742668200120
442,1,5,321,4,3,1,1742668192808
441,1,5,198,4,3,1,1742668186896
440,1,5,5,4,2,1,1742668162405
439,1,5,131,4,2,1,1742668157853
438,1,5,153,4,2,1,1742668151349
437,1,5,79,4,2,1,1742668146589
435,2,5,323,4,1,0,1742658357653
436,2,5,29,4,1,0,1742658357653
433,2,5,406,4,1,0,1742658356299
434,2,5,155,4,1,0,1742658356299
432,2,5,112,4,1,0,1742658354788
428,2,5,210,1,1,0,1742658347434
429,2,5,71,1,1,0,1742658347434
430,2,5,203,1,1,0,1742658347434
431,2,5,87,1,1,0,1742658347434
426,-1,5,316,2,1,0,1742653892796
407,2,5,377,2,1,0,1742587525500
404,2,5,31,4,3,0,1742573419605
405,2,5,194,4,3,0,1742573419605
403,2,5,293,4,3,1,1742573418277
402,2,5,158,4,3,0,1742573417005
401,2,5,34,4,3,0,1742573415637
400,2,5,365,4,3,1,1742569492187
399,2,5,147,4,3,0,1742569488835
397,2,5,213,4,3,0,1742569487195
398,2,5,55,4,3,0,1742569487195
396,2,5,104,4,1,1,1742569384876
395,2,5,388,4,1,1,1742569383475
393,2,5,295,4,1,0,1742569382090
394,2,5,327,4,1,0,1742569382090
391,2,5,26,4,3,0,1742569360911
392,2,5,214,4,3,0,1742569360911
390,2,5,275,4,3,0,1742569355839
388,2,5,338,4,3,0,1742569354335
389,2,5,61,4,3,0,1742569354335
385,2,5,278,4,3,0,1742567847948
386,2,5,122,4,3,0,1742567847948
384,2,5,136,4,3,0,1742567844637
382,2,5,367,4,3,0,1742567842957
383,2,5,54,4,3,0,1742567842957
381,1,5,353,3,2,0,1742561295894
380,1,5,273,4,3,0,1742561086698
379,1,5,407,4,3,1,1742561066759
377,1,5,416,4,3,0,1742561018239
378,1,5,191,4,3,0,1742561018239
376,1,5,69,4,3,1,1742561013999
374,1,5,400,4,3,0,1742561009541
375,1,5,372,4,3,0,1742561009541
372,1,5,301,4,3,0,1742561000181
373,1,5,1,4,3,0,1742561000181
371,1,5,334,4,3,1,1742560966533
370,1,5,315,4,3,1,1742560960030
369,1,5,379,4,3,1,1742560951918
368,1,5,40,4,3,1,1742560946892
367,1,5,88,4,1,0,1742560919572
366,1,5,41,4,1,1,1742560910780
362,2,5,247,1,1,0,1742555679544
363,2,5,13,1,1,0,1742555679544
364,2,5,353,1,1,0,1742555679544
365,2,5,229,1,1,0,1742555679544
361,2,5,266,4,3,0,1742499133708
360,2,5,320,4,3,1,1742499129012
357,2,5,300,4,1,0,1742499009977
358,2,5,302,4,1,0,1742499009977
356,2,5,272,4,1,1,1742499008545
355,2,5,241,4,1,1,1742498997399
353,2,5,6,4,1,0,1742498971124
354,2,5,293,4,1,0,1742498971124
352,2,5,344,4,1,1,1742498969675
351,2,5,367,4,1,1,1742498968051
349,2,5,235,4,1,0,1742498948640
350,2,5,53,4,1,0,1742498948640
347,2,5,46,4,1,0,1742498946560
348,2,5,204,4,1,0,1742498946560
346,2,5,278,4,1,1,1742498945152
345,2,5,111,4,1,1,1742498926533
344,2,5,269,4,1,1,1742498912123
343,2,5,133,4,1,1,1742498896008
342,2,5,386,4,1,1,1742498879678
340,2,5,34,4,1,0,1742498868548
341,2,5,211,4,1,0,1742498868548
339,2,5,30,4,1,1,1742498766405
338,2,5,282,4,1,0,1742498747458
337,-1,5,198,4,3,1,1742491369266
336,-1,5,352,4,3,1,1742491363346
334,-1,5,237,4,3,0,1742491354250
335,-1,5,338,4,3,0,1742491354250
333,-1,5,370,4,3,1,1742491335842
332,-1,5,227,4,3,0,1742490946776
331,-1,5,122,4,3,1,1742490929119
329,-1,5,198,4,3,0,1742490911295
330,-1,5,279,4,3,0,1742490911295
328,-1,5,27,4,3,1,1742490904600
327,-1,5,372,2,3,0,1742489347684
326,-1,5,221,2,3,0,1742489251391
325,-1,5,388,4,2,0,1742489158691
324,-1,5,15,4,2,1,1742489151027
323,-1,5,286,4,2,1,1742489141779
322,-1,5,60,4,2,1,1742489137219
321,-1,5,334,4,2,0,1742489101675
320,-1,5,167,4,2,1,1742489095299
319,-1,5,56,4,2,1,1742489089835
318,-1,5,56,2,2,1,1742381760330
317,1,5,396,4,3,1,1742337710279
316,1,5,221,4,3,1,1742337703663
314,1,5,263,4,3,0,1742337699135
315,1,5,159,4,3,0,1742337699135
313,1,5,402,4,3,1,1742337690415
312,1,5,66,4,3,1,1742337677647
310,1,5,307,4,3,0,1742337654046
311,1,5,415,4,3,0,1742337654046
309,1,5,64,4,3,0,1742337625399
308,1,5,301,4,3,0,1742337619543
307,1,5,378,4,3,1,1742337594302
306,1,5,250,4,3,1,1742337573294
305,1,5,17,4,3,1,1742337566478
303,1,5,73,4,3,0,1742337485190
304,1,5,275,4,3,0,1742337485190
302,1,5,21,4,3,1,1742337476054
301,1,5,391,4,3,0,1742337465182
300,1,5,302,4,3,0,1742337440486
299,1,5,350,4,3,1,1742337429294
298,1,5,308,4,3,1,1742337409285
297,1,5,127,4,3,1,1742337399781
296,1,5,323,4,3,1,1742337379037
295,1,5,134,4,3,1,1742337365796
294,1,5,77,4,3,1,1742337353677
