id,user_id,code_id,tag_id,item_id,game_id,difficulty,win,created
372,1,5,1206,231,4,2,0,1742746751582
373,1,5,1247,231,4,2,0,1742746751582
371,1,5,1230,329,4,2,1,1742746729162
369,1,5,1076,82,4,2,0,1742746710990
370,1,5,1076,107,4,2,0,1742746710990
367,1,5,1321,354,4,2,0,1742746638351
368,1,5,1076,354,4,2,0,1742746638351
366,1,5,1141,396,4,2,1,1742746625234
364,1,5,1217,217,4,2,0,1742746529099
365,1,5,1217,160,4,2,0,1742746529099
363,1,5,1318,47,4,2,1,1742746519569
362,1,5,1090,148,4,2,1,1742746509717
361,1,5,1189,172,4,2,1,1742746492005
360,1,5,1303,205,4,1,1,1742740280259
359,1,5,1272,49,4,1,1,1742740276417
357,1,5,1128,49,4,1,0,1742740270135
358,1,5,1254,49,4,1,0,1742740270135
356,1,5,1168,4,4,1,1,1742739055718
355,1,5,1191,107,4,1,1,1742739016329
354,1,5,1085,409,4,1,1,1742739009071
353,1,5,1051,179,4,1,1,1742739003603
352,1,5,1153,399,4,2,1,1742719456541
351,1,5,1055,78,4,2,1,1742682714255
350,1,5,1081,275,4,2,1,1742682710991
349,1,5,1089,75,4,2,1,1742682702525
347,1,5,1166,283,4,2,0,1742680253731
348,1,5,1166,91,4,2,0,1742680253731
345,1,5,1219,174,4,2,0,1742680241548
346,1,5,1052,174,4,2,0,1742680241548
344,1,5,1090,165,4,3,1,1742668200167
343,1,5,1061,321,4,3,1,1742668192862
342,1,5,1311,198,4,3,1,1742668186946
341,1,5,1198,5,4,2,1,1742668162453
340,1,5,1226,131,4,2,1,1742668157894
339,1,5,1289,153,4,2,1,1742668151397
338,1,5,1081,79,4,2,1,1742668146654
336,2,5,1189,323,4,1,0,1742658357690
337,2,5,1189,29,4,1,0,1742658357690
334,2,5,1125,406,4,1,0,1742658356339
335,2,5,1125,155,4,1,0,1742658356339
332,2,5,1147,112,4,1,0,1742658354827
333,2,5,1153,112,4,1,0,1742658354827
330,2,5,1166,31,4,3,0,1742573419643
331,2,5,1166,194,4,3,0,1742573419643
329,2,5,1075,293,4,3,1,1742573418316
327,2,5,1308,158,4,3,0,1742573417046
328,2,5,1191,158,4,3,0,1742573417046
325,2,5,1136,34,4,3,0,1742573415677
326,2,5,1090,34,4,3,0,1742573415677
324,2,5,1107,365,4,3,1,1742569492231
322,2,5,1247,147,4,3,0,1742569488873
323,2,5,1120,147,4,3,0,1742569488873
320,2,5,1275,213,4,3,0,1742569487234
321,2,5,1275,55,4,3,0,1742569487234
319,2,5,1163,104,4,1,1,1742569384916
318,2,5,1135,388,4,1,1,1742569383516
316,2,5,1264,295,4,1,0,1742569382130
317,2,5,1264,327,4,1,0,1742569382130
314,2,5,1283,26,4,3,0,1742569360951
315,2,5,1283,214,4,3,0,1742569360951
312,2,5,1161,275,4,3,0,1742569355890
313,2,5,1135,275,4,3,0,1742569355890
310,2,5,1236,338,4,3,0,1742569354378
311,2,5,1236,61,4,3,0,1742569354378
308,2,5,1309,278,4,3,0,1742567847986
309,2,5,1309,122,4,3,0,1742567847986
306,2,5,1146,136,4,3,0,1742567844685
