id,old_code,new_code,old_tag,new_tag,description,created
373,3,4,451,868,INITIAL COPY,1713105924667
365,3,4,454,860,INITIAL COPY,1712518292525
366,3,4,457,861,INITIAL COPY,1712517860074
453,3,4,458,948,INITIAL COPY,1713095081101
364,3,4,460,859,INITIAL COPY,1712518389638
303,3,4,461,798,INITIAL COPY,1710952384138
369,3,4,462,864,INITIAL COPY,1713088519570
382,3,4,464,877,INITIAL COPY,1710968934321
397,3,4,466,892,INITIAL COPY,1710956484400
318,3,4,467,813,INITIAL COPY,1710235996661
383,3,4,468,878,INITIAL COPY,1712517860074
413,3,4,471,908,INITIAL COPY,1713186177389
320,3,4,472,815,INITIAL COPY,1711111373766
384,3,4,474,879,INITIAL COPY,1712517995392
385,3,4,475,880,INITIAL COPY,1712519248734
386,3,4,476,881,INITIAL COPY,1713086660182
381,3,4,477,876,INITIAL COPY,1713086660182
399,3,4,478,894,INITIAL COPY,1709910826759
333,3,4,481,828,INITIAL COPY,1712516375204
351,3,4,482,846,INITIAL COPY,1713167124757
319,3,4,483,814,INITIAL COPY,1713095051545
388,3,4,486,883,INITIAL COPY,1712518716741
417,3,4,487,912,INITIAL COPY,1712517337379
287,3,4,489,782,INITIAL COPY,1713088782652
394,3,4,490,889,INITIAL COPY,1712517635199
404,3,4,491,899,INITIAL COPY,1713185301563
482,3,4,493,977,INITIAL COPY,1713160006939
288,3,4,494,783,INITIAL COPY,1713097310471
352,3,4,495,847,INITIAL COPY,1711813043652
353,3,4,497,848,INITIAL COPY,1713081925536
402,3,4,498,897,INITIAL COPY,1709910683079
450,3,4,502,945,INITIAL COPY,1713093873124
403,3,4,504,898,INITIAL COPY,1710969196761
380,3,4,505,875,INITIAL COPY,1713166918917
457,3,4,506,952,INITIAL COPY,1712518810056
458,3,4,507,953,INITIAL COPY,1712518810056
418,3,4,508,913,INITIAL COPY,1710968934321
459,3,4,510,954,INITIAL COPY,1710237123880
289,3,4,511,784,INITIAL COPY,1710171588976
494,3,4,513,989,INITIAL COPY,1711125631692
497,3,4,514,992,INITIAL COPY,1713086804598
317,3,4,515,812,INITIAL COPY,1713095154286
414,3,4,516,909,INITIAL COPY,1710962926778
354,3,4,518,849,INITIAL COPY,1712518532938
498,3,4,519,993,INITIAL COPY,1713081762411
500,3,4,520,995,INITIAL COPY,1713082131114
499,3,4,521,994,INITIAL COPY,1713082131114
277,3,4,522,772,INITIAL COPY,1713167726338
378,3,4,525,873,INITIAL COPY,1715682588475
374,3,4,526,869,INITIAL COPY,1715682690920
442,3,4,527,937,INITIAL COPY,1715682758927
441,3,4,528,936,INITIAL COPY,1715683167492
440,3,4,529,935,INITIAL COPY,1715683167492
377,3,4,557,872,INITIAL COPY,1717611007935
372,3,4,558,867,INITIAL COPY,1717611119990
456,3,4,559,951,INITIAL COPY,1723054777441
368,3,4,560,863,INITIAL COPY,1723054847105
249,3,4,561,744,INITIAL COPY,1723054847105
451,3,4,562,946,INITIAL COPY,1723054847105
321,3,4,563,816,INITIAL COPY,1723054847105
272,3,4,564,767,INITIAL COPY,1723054847105
313,3,4,565,808,INITIAL COPY,1723054874006
