id,dataset_id,name,description,url,teaser,year,steam_id
70,1,Deus Ex: Human Revolution - Director's Cut,,https://store.steampowered.com/app/238010/Deus_Ex_Human_Revolution__Directors_Cut/,112a9299-8019-4472-97b4-bc1de293ded9.jpg,2013,238010
71,1,Plants vs. Zombies,,https://store.steampowered.com/app/3590/Plants_vs_Zombies_GOTY_Edition/,ac49f900-19bf-46ff-aa03-f41d222b74e8.jpg,2009,3590
72,1,Saints Row: The Third,,https://store.steampowered.com/app/55230/Saints_Row_The_Third/,754f6ba8-4883-45e2-b986-c1f88cb08b48.jpg,2009,55230
73,1,The Witcher,,https://store.steampowered.com/app/20900/The_Witcher_Enhanced_Edition_Directors_Cut/,f2053fa8-fd05-4163-b45a-6ebd57a40351.jpg,2008,20900
74,1,Borderlands,,https://store.steampowered.com/app/8980/Borderlands_Game_of_the_Year/,6f625e97-522c-46f8-981b-80057f4b8361.jpg,2008,8980
75,1,The Witcher 2: Assassins of Kings,,https://store.steampowered.com/app/20920/The_Witcher_2_Assassins_of_Kings_Enhanced_Edition/,3f9188fd-329b-4d31-baca-590189fe6988.jpg,2011,20920
76,1,Dorfromantik,,https://store.steampowered.com/app/1455840/Dorfromantik/,7c07429f-40b9-42ec-85ad-578b43fb0068.jpg,2022,1455840
77,1,Remember Me,,https://store.steampowered.com/app/228300/Remember_Me/,5c7afdd9-f6a1-4be9-a72b-fa98b34ed8f0.jpg,2013,228300
78,1,Trine 2,,https://store.steampowered.com/app/35720/Trine_2_Complete_Story/,3a71ec32-97ae-4eb1-9169-d3fbc199ae28.jpg,2013,35720
79,1,Antichamber,,https://store.steampowered.com/app/219890/Antichamber/,06b28e05-f23c-4547-a5ea-42024ac449d9.jpg,2013,219890
80,1,Geometry Wars: Retro Evolved,,https://store.steampowered.com/app/8400/Geometry_Wars_Retro_Evolved/,4ababf7e-5624-483c-8923-1fdacae4843b.jpg,2007,8400
81,1,STAR WARS™ Jedi Knight II - Jedi Outcast™,,https://store.steampowered.com/app/6030/STAR_WARS_Jedi_Knight_II__Jedi_Outcast/,b87a81bd-289f-4542-9b6a-2159e1909f52.jpg,2003,6030
82,1,Sacred Gold,,https://store.steampowered.com/app/12320/Sacred_Gold/,c748666d-73e8-46d9-85fd-19d8b9f706cc.jpg,2006,12320
83,1,RollerCoaster Tycoon,,https://store.steampowered.com/app/285310/RollerCoaster_Tycoon_Deluxe/,1d626d49-0554-4abe-8ab6-a870831439e5.jpg,1999,285310
84,1,Tomb Raider,,https://store.steampowered.com/app/203160/Tomb_Raider/,08b94475-d22f-472c-8a48-b353be8f492b.jpg,2013,203160
85,1,Call of Juarez: Gunslinger,,https://store.steampowered.com/app/204450/Call_of_Juarez_Gunslinger/,918e0116-4965-4c74-94b5-358f118946ac.jpg,2013,204450
86,1,Mirror's Edge™,,https://store.steampowered.com/app/17410/Mirrors_Edge/,5a8bc26c-3ad1-472d-afd7-097690f5fe03.jpg,2009,17410
87,1,Dishonored,,https://store.steampowered.com/app/205100/Dishonored/,7b5da6c6-0d4a-4e19-b4b4-03a684503474.jpg,2012,205100
88,1,Robin Hood: The Legend of Sherwood,,https://store.steampowered.com/app/46560/Robin_Hood_The_Legend_of_Sherwood/,620cdae0-aeb0-4162-bf3e-34b2ba19236e.jpg,2002,46560
