id,meta_id,created_by,value
2540,617,1,1
2541,617,2,1
2543,618,1,1
2544,618,2,1
2546,619,1,1
2547,619,2,1
2549,620,1,1
2550,620,2,1
2552,621,1,1
2553,621,2,1
2555,622,1,1
2556,622,2,1
2558,623,1,1
2559,623,2,1
2561,624,1,1
2562,624,2,1
2564,625,1,1
2565,625,2,1
2567,626,1,1
2568,626,2,1
2570,627,1,1
2571,627,2,1
2573,628,1,1
2574,628,2,1
2576,629,1,1
2577,629,2,1
2579,630,1,1
2580,630,2,1
2582,631,1,1
2583,631,2,1
2585,632,1,1
2586,632,2,1
2588,633,1,1
2589,633,2,1
2591,634,1,1
2592,634,2,1
2594,635,1,1
2595,635,2,1
2597,636,1,1
2598,636,2,1
2600,637,1,1
2601,637,2,1
2603,638,1,1
2604,638,2,1
2606,639,1,1
2607,639,2,1
2609,640,1,1
2610,640,2,1
2612,641,1,1
2613,641,2,1
2615,642,1,1
2616,642,2,1
2618,643,1,1
2619,643,2,1
2621,644,1,1
2622,644,2,1
2624,645,1,1
2625,645,2,1
2627,646,1,1
2628,646,2,1
2630,647,1,1
2631,647,2,1
2633,648,1,1
2634,648,2,1
2636,649,1,1
2637,649,2,1
2639,650,1,1
2640,650,2,1
2642,651,1,1
2643,651,2,1
2645,652,1,1
2646,652,2,1
2648,653,1,1
2649,653,2,1
2651,654,1,1
2652,654,2,1
2654,655,1,1
2655,655,2,1
2657,656,1,1
2658,656,2,1
2660,657,1,1
2661,657,2,1
2663,658,1,1
2664,658,2,1
2666,659,1,1
2667,659,2,1
2669,660,1,1
2670,660,2,1
2672,661,1,1
2673,661,2,1
2675,662,1,1
2676,662,2,1
2678,663,1,1
2679,663,2,1
2681,664,1,1
2682,664,2,1
2684,665,1,1
2685,665,2,1
2687,666,1,1
2688,666,2,1
2690,667,1,1
2691,667,2,1
2693,668,1,1
2694,668,2,1
2696,669,1,1
2697,669,2,1
2699,670,1,1
2700,670,2,1
2702,671,1,1
2703,671,2,1
2705,672,1,1
2706,672,2,1
2708,673,1,1
2709,673,2,1
2711,674,1,1
2712,674,2,1
2714,675,1,1
2715,675,2,1
2717,676,1,1
2718,676,2,1
2720,677,1,1
2721,677,2,1
2723,678,1,1
2724,678,2,1
2726,679,1,1
2727,679,2,1
2729,680,1,1
2730,680,2,1
2732,681,1,1
2733,681,2,1
2735,682,1,1
2736,682,2,1
2738,683,1,1
2739,683,2,1
2741,684,1,1
2742,684,2,1
2744,685,1,1
2745,685,2,1
2747,686,1,1
2748,686,2,1
2750,687,1,1
2751,687,2,1
2753,688,1,1
2754,688,2,1
2756,689,1,1
2757,689,2,1
2759,690,1,1
2760,690,2,1
2762,691,1,1
2763,691,2,1
2765,692,1,1
2766,692,2,1
2768,693,1,1
2769,693,2,1
2771,694,1,1
2772,694,2,1
2774,695,1,1
2775,695,2,1
2777,696,1,1
2778,696,2,1
2780,697,1,1
2781,697,2,1
2783,698,1,1
2784,698,2,1
2786,699,1,1
2787,699,2,1
2789,700,1,1
2790,700,2,1
2792,701,1,1
2793,701,2,1
2795,702,1,1
2796,702,2,1
2798,703,1,1
2799,703,2,1
2801,704,1,1
2802,704,2,1
2804,705,1,1
2805,705,2,1
2807,706,1,1
2808,706,2,1
2810,707,1,1
2811,707,2,1
2813,708,1,1
2814,708,2,1
2816,709,1,1
2817,709,2,1
2819,710,1,1
2820,710,2,1
2822,711,1,1
2823,711,2,1
2825,712,1,1
2826,712,2,1
2828,713,1,1
2829,713,2,1
2831,714,1,1
2832,714,2,1
2834,715,1,1
2835,715,2,1
2837,716,1,1
2838,716,2,1
2840,717,1,1
2841,717,2,1
