id,name,item_id,code_id,created,created_by
514,Favorites Quick Access,116,4,1733157641895,2
515,Quick Access Slots,252,4,1733170925264,2
516,Location Marker,252,4,1733172263718,2
517,Quest Tracker,338,4,1733331696987,2
519,Player Messages,270,4,1733361108337,2
520,Tagging System,1,5,1738217059799,1
521,Session Bar,1,5,1738217059799,1
522,Post-It Notes,8,5,1738217059799,1
523,Evidence Boards,8,5,1738217059799,1
524,Blueprint,57,5,1738217059799,1
525,Suspicion Markers,12,5,1738217059799,1
526,Tagging,13,5,1738217059799,1
527,Bookmarks,13,5,1738217059799,1
528,Translation Tracker,44,5,1738217059799,1
529,Filling the Gaps,10,5,1738217059799,1
530,Tagging System,21,5,1738217059799,1
531,Plant & Document Shelves,21,5,1738217059799,1
532,Memo Overlay,23,5,1738217059799,1
533,Evidence Boards,27,5,1738217059799,1
534,Workspace Customization,26,5,1738217059799,1
535,Location Marker,30,5,1738217059799,1
536,Placeholders,48,5,1738217059799,1
537,Blueprint,50,5,1738217059799,1
538,Blueprint,49,5,1738217059799,1
539,Filling the Gaps,7,5,1738217059799,1
540,Stamps,29,5,1738217059799,1
541,Text Chat,52,5,1738217059799,1
542,Queues,52,5,1738217059799,1
543,Pings,52,5,1738217059799,1
544,Board Overlay,203,5,1738217059799,4
545,Blueprint,198,5,1738217059799,4
546,Location Marker,58,5,1738217059799,2
547,Books,53,5,1738217059799,2
548,Place Block As Marker,53,5,1738217059799,2
549,Signs,53,5,1738217059799,2
550,Assisted Targetting Action Queue,210,5,1738217059799,4
551,Templates,66,5,1738217059799,2
552,Map Creation,209,5,1738217059799,4
553,Save Screenshot,393,5,1738217059799,2
554,Mark Enemies,229,5,1738217059799,2
555,Storage Box,403,5,1738217059799,1
556,Trackers,8,5,1738217059799,1
557,Desktop Customization,29,5,1738217059799,1
558,Player Messages,139,5,1738217059799,2
559,Mark cells,405,5,1738217059799,2
560,Location Marker,37,5,1738217059799,1
561,Camera,396,5,1738217059799,1
